code,severity,root,level,detail,observed,expected
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230820203112.zarr,5,chunk exceeds level extent on every axis (~18x),"chunks=[4, 512, 512] shape=[3, 225, 84]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230601193301.zarr,5,chunk exceeds level extent on every axis (~13x),"chunks=[4, 512, 512] shape=[3, 123, 215]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230611014200.zarr,5,chunk exceeds level extent on every axis (~41x),"chunks=[4, 512, 512] shape=[3, 101, 85]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230826170124.zarr,5,chunk exceeds level extent on every axis (~18x),"chunks=[4, 512, 512] shape=[3, 162, 118]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230901184804.zarr,5,chunk exceeds level extent on every axis (~12x),"chunks=[4, 512, 512] shape=[3, 210, 136]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230902141231.zarr,5,chunk exceeds level extent on every axis (~19x),"chunks=[4, 512, 512] shape=[3, 152, 122]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230903193206.zarr,5,chunk exceeds level extent on every axis (~9x),"chunks=[4, 512, 512] shape=[3, 325, 125]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230904135535.zarr,5,chunk exceeds level extent on every axis (~11x),"chunks=[4, 512, 512] shape=[3, 222, 142]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20231004222109.zarr,5,chunk exceeds level extent on every axis (~9x),"chunks=[4, 512, 512] shape=[3, 372, 110]",
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,0,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=31 top-level keys (7936 chunks if dense)
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,1,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=16 top-level keys (1024 chunks if dense)
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,2,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=8 top-level keys (128 chunks if dense)
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,3,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=4 top-level keys (16 chunks if dense)
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,4,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=2 top-level keys (2 chunks if dense)
LEVEL_NO_CHUNKS,high,other/dev/inked_zarrs/3336_predictions.zarr,5,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=1 top-level keys (1 chunks if dense)
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions11.zarr,1,"shape matches neither ceil nor floor of base/[2.0, 2.0, 1.0]","[64, 5504, 14976]","ceil=[32, 5504, 29952] floor=[32, 5504, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions11.zarr,2,"shape matches neither ceil nor floor of base/[4.0, 4.0, 1.0]","[64, 2752, 7488]","ceil=[16, 2752, 29952] floor=[16, 2752, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions11.zarr,3,"shape matches neither ceil nor floor of base/[8.0, 8.0, 1.0]","[64, 1376, 3744]","ceil=[8, 1376, 29952] floor=[8, 1376, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions11.zarr,4,"shape matches neither ceil nor floor of base/[16.0, 16.0, 1.0]","[64, 688, 1872]","ceil=[4, 688, 29952] floor=[4, 688, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions11.zarr,5,"shape matches neither ceil nor floor of base/[32.0, 32.0, 1.0]","[64, 344, 936]","ceil=[2, 344, 29952] floor=[2, 344, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions10.zarr,1,"shape matches neither ceil nor floor of base/[2.0, 2.0, 1.0]","[64, 5504, 14976]","ceil=[32, 5504, 29952] floor=[32, 5504, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions10.zarr,2,"shape matches neither ceil nor floor of base/[4.0, 4.0, 1.0]","[64, 2752, 7488]","ceil=[16, 2752, 29952] floor=[16, 2752, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions10.zarr,3,"shape matches neither ceil nor floor of base/[8.0, 8.0, 1.0]","[64, 1376, 3744]","ceil=[8, 1376, 29952] floor=[8, 1376, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions10.zarr,4,"shape matches neither ceil nor floor of base/[16.0, 16.0, 1.0]","[64, 688, 1872]","ceil=[4, 688, 29952] floor=[4, 688, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions10.zarr,5,"shape matches neither ceil nor floor of base/[32.0, 32.0, 1.0]","[64, 344, 936]","ceil=[2, 344, 29952] floor=[2, 344, 29952]"
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/1321_predictions.zarr,5,chunk exceeds level extent on every axis (~16x),"chunks=[4, 992, 1568] shape=[2, 496, 392]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/3336_predictions3.zarr,5,chunk exceeds level extent on every axis (~8x),"chunks=[4, 688, 1872] shape=[2, 344, 936]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/1321_predictions_binned.zarr,5,chunk exceeds level extent on every axis (~16x),"chunks=[4, 992, 1568] shape=[2, 496, 392]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230522215721.zarr,5,chunk exceeds level extent on every axis (~14x),"chunks=[4, 512, 512] shape=[3, 175, 138]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230530172803.zarr,5,chunk exceeds level extent on every axis (~23x),"chunks=[4, 512, 512] shape=[3, 146, 103]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230531121653.zarr,5,chunk exceeds level extent on every axis (~64x),"chunks=[4, 512, 512] shape=[3, 74, 74]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230531193658.zarr,5,chunk exceeds level extent on every axis (~23x),"chunks=[4, 512, 512] shape=[3, 82, 184]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230530212931.zarr,5,chunk exceeds level extent on every axis (~39x),"chunks=[4, 512, 512] shape=[3, 120, 74]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230620230617.zarr,5,chunk exceeds level extent on every axis (~15x),"chunks=[4, 512, 512] shape=[3, 205, 112]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/20230620230619.zarr,5,chunk exceeds level extent on every axis (~10x),"chunks=[4, 512, 512] shape=[3, 203, 169]",
NOT_MULTISCALE,info,community-uploads/llesliee/Fragments/Fragment1/data.zarr,,"valid zarr group, no multiscales key; attrs=[]",,
NOT_MULTISCALE,info,community-uploads/llesliee/Fragments/Fragment3/data.zarr,,"valid zarr group, no multiscales key; attrs=[]",,
NOT_MULTISCALE,info,community-uploads/llesliee/Fragments/Fragment2/data.zarr,,"valid zarr group, no multiscales key; attrs=[]",,
NOT_MULTISCALE,info,community-uploads/llesliee/Fragments/Fragment4/data.zarr,,"valid zarr group, no multiscales key; attrs=[]",,
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions9.zarr,1,"shape matches neither ceil nor floor of base/[2.0, 2.0, 1.0]","[31, 5504, 14976]","ceil=[31, 5504, 29952] floor=[31, 5504, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions9.zarr,2,"shape matches neither ceil nor floor of base/[4.0, 4.0, 1.0]","[16, 2752, 7488]","ceil=[16, 2752, 29952] floor=[15, 2752, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions9.zarr,3,"shape matches neither ceil nor floor of base/[8.0, 8.0, 1.0]","[8, 1376, 3744]","ceil=[8, 1376, 29952] floor=[7, 1376, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions9.zarr,4,"shape matches neither ceil nor floor of base/[16.0, 16.0, 1.0]","[4, 688, 1872]","ceil=[4, 688, 29952] floor=[3, 688, 29952]"
SCALE_SHAPE_MISMATCH,high,other/dev/inked_zarrs/3336_predictions9.zarr,5,"shape matches neither ceil nor floor of base/[32.0, 32.0, 1.0]","[2, 344, 936]","ceil=[2, 344, 29952] floor=[1, 344, 29952]"
CHUNK_EXCEEDS_SHAPE,info,other/dev/inked_zarrs/3336_predictions9.zarr,5,chunk exceeds level extent on every axis (~8x),"chunks=[4, 688, 1872] shape=[2, 344, 936]",
BARE_ARRAY,info,other/dev/meshes/tomato_premesh.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/labels/normals/s1_gp_normals.zarr,,"bare zarr v2 array shape=[13700, 7888, 8096, 3] chunks=[192, 192, 192, 3] dtype=<u2",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s1_labels-v2.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s1_labels.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s1_mask-v2.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s1_mask.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s5_labels-v2.zarr,,"bare zarr v2 array shape=[21000, 6700, 9100] chunks=[128, 128, 128] dtype=|u1",,
NOT_MULTISCALE,info,community-uploads/bruniss/scrolls/s1/normals/6000_7000_sheet-normals.zarr,,"valid zarr group, no multiscales key; attrs=[]",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/hz_vt_skeleton.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/labels/ink/s1/masked_labels.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/vt_regular.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,other/dev/meshes/fibers-renders/s5_mask-v2.zarr,,"bare zarr v2 array shape=[21000, 6700, 9100] chunks=[128, 128, 128] dtype=|u1",,
CHUNK_EXCEEDS_SHAPE,info,other/dev/meshes/20231022170900-ome.zarr,6,chunk exceeds level extent on every axis (~25x),"chunks=[128, 128, 128] shape=[32, 40, 65]",
CHUNK_EXCEEDS_SHAPE,info,other/dev/meshes/20231022170900-ome.zarr,7,chunk exceeds level extent on every axis (~205x),"chunks=[128, 128, 128] shape=[16, 20, 32]",
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/hz_regular.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/hz_vt_reg.zarr,,"bare zarr v2 array shape=[14376, 7888, 8096] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s3/surfaces/s3-surface-erode.zarr,,"bare zarr v2 array shape=[9778, 3400, 3550] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s3/surfaces/s3-surface-regular.zarr,,"bare zarr v2 array shape=[9778, 3400, 3550] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s4/surfaces/s4-surface-erode.zarr,,"bare zarr v2 array shape=[11174, 3440, 3340] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s4/surfaces/s4-surface-regular.zarr,,"bare zarr v2 array shape=[11174, 3440, 3340] chunks=[128, 128, 128] dtype=|u1",,
NOT_A_ZARR_GROUP,info,community-uploads/bruniss/scrolls/s4/3d_ink/s4_predictions.zarr,,"1 dirs, 0 files, none Zarr-like",,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr,1,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/1/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/1/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr,2,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/2/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/2/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr,3,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/3/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/3/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr,4,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/4/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/4/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr,5,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/5/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_standardized/88keV_3.24um_.zarr/5/zarr.json,,
CHUNK_EXCEEDS_SHAPE,info,fragments/Frag5/PHerc1667Cr1Fr3.volpkg/volumes_standardized/70keV_7.91um_.zarr,5,chunk exceeds level extent on every axis (~16x),"chunks=[128, 128, 128] shape=[98, 21, 64]",
CHUNK_EXCEEDS_SHAPE,info,fragments/Frag5/PHerc1667Cr1Fr3.volpkg/volumes_zarr/70keV_7.91um_.zarr,5,chunk exceeds level extent on every axis (~16x),"chunks=[128, 128, 128] shape=[98, 21, 64]",
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr,1,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/1/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/1/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr,2,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/2/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/2/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr,3,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/3/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/3/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr,4,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/4/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/4/zarr.json,,
LEVEL_MISSING,high,fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr,5,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/5/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/fragments/Frag3/PHercParis1Fr34.volpkg/volumes_zarr/88keV_3.24um_.zarr/5/zarr.json,,
COMPRESSOR_DRIFT,low,full-scrolls/Scroll5/PHerc172.volpkg/volumes_zarr/20241024131838.zarr,,compressor differs across levels,"{""blosc:zstd:l3"": [""0""], ""none"": [""1"", ""2"", ""3"", ""4"", ""5""]}",
LEVEL_MISSING,high,community-uploads/bruniss/scrolls/s5/surfaces,0,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/0/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/0/zarr.json,,
LEVEL_MISSING,high,community-uploads/bruniss/scrolls/s5/surfaces,1,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/1/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/1/zarr.json,,
LEVEL_MISSING,high,community-uploads/bruniss/scrolls/s5/surfaces,2,declared in multiscales but no readable array header: .zarray: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/2/.zarray | zarr.json: 404 Not Found: https://dl.ash2txt.org/community-uploads/bruniss/scrolls/s5/surfaces/2/zarr.json,,
LEVEL_NO_CHUNKS,high,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,1,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=57 top-level keys (56544 chunks if dense)
LEVEL_NO_CHUNKS,high,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,2,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=29 top-level keys (7424 chunks if dense)
LEVEL_NO_CHUNKS,high,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,3,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=15 top-level keys (960 chunks if dense)
LEVEL_NO_CHUNKS,high,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,4,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=8 top-level keys (128 chunks if dense)
LEVEL_NO_CHUNKS,high,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,5,array header present but level directory holds no chunk keys; reads return fill_value with no error,top_entries=0 fill_value=0,<=4 top-level keys (16 chunks if dense)
COMPRESSOR_DRIFT,low,community-uploads/bruniss/labels/surfaces/archive/1-voxel-sheet_slices-closed.zarr,,compressor differs across levels,"{""blosc:lz4:l5"": [""0""], ""none"": [""1"", ""2"", ""3"", ""4"", ""5""]}",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/forrest/volcomp/PHerc0009B/volumes/20250521125136-8.640um-1.2m-116keV-masked.zarr,5,chunk exceeds level extent on every axis (~60x),"chunks=[1024, 1024, 1024] shape=[300, 245, 245]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/forrest/volcomp/PHerc0125/volumes/20250821151825-9.362um-1.2m-113keV-masked.zarr,5,chunk exceeds level extent on every axis (~24x),"chunks=[1024, 1024, 1024] shape=[652, 263, 263]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/forrest/volcomp/PHerc0139/volumes/20250728140407-9.362um-1.2m-113keV-masked.zarr,5,chunk exceeds level extent on every axis (~38x),"chunks=[1024, 1024, 1024] shape=[656, 207, 207]",
CHUNK_EXCEEDS_SHAPE,info,community-uploads/forrest/volcomp/PHerc0172/volumes/20241024131839-7.910um-53keV-masked.zarr,5,chunk exceeds level extent on every axis (~28x),"chunks=[1024, 1024, 1024] shape=[651, 210, 285]",
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/archive/old_fiber_preds/7000_11249_originals.zarr,,"bare zarr v2 array shape=[5002, 3145, 3432] chunks=[500, 500, 500] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/archive/old_fiber_preds/7000_11249_predictions.zarr,,"bare zarr v2 array shape=[4251, 3145, 3432] chunks=[500, 500, 500] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/surfaces/full_scroll/s1-surface-erode.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[128, 128, 128] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/surfaces/full_scroll/s1-surface-regular.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[128, 128, 128] dtype=|u1",,
NOT_MULTISCALE,info,full-scrolls/Scroll5/PHerc172.volpkg/representations/direction_fields/s5-structure-tensor,,"valid zarr group, no multiscales key; attrs=['num_parts', 'original_volume_shape', 'overlap', 'part_id', 'patch_size', 'sigma', 'smooth_components']",,
CONTAINER_NO_GROUP_HEADER,low,full-scrolls/Scroll5/PHerc172.volpkg/representations/direction_fields/s5-fiber-directions.zarr,,"2/2 probed children are Zarr nodes (['horizontal', 'vertical']); no group header at root",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/gp_only/old/mask-fiber-only_rescaled.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[500, 500, 500] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/fibers_3d/gp_only/old/mask-hz-only_rescaled.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[500, 500, 500] dtype=|u1",,
CHUNK_EXCEEDS_SHAPE,info,community-uploads/forrest/volcomp/PHerc0175A/volumes/20250521115057-8.640um-1.2m-116keV-masked.zarr,5,chunk exceeds level extent on every axis (~31x),"chunks=[1024, 1024, 1024] shape=[399, 293, 293]",
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/surfaces/gp_only/old/mask-2ext-surface-erode_rescaled.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[500, 500, 500] dtype=|u1",,
BARE_ARRAY,info,community-uploads/bruniss/scrolls/s1/surfaces/gp_only/old/mask-2ext-surface_rescaled.zarr,,"bare zarr v2 array shape=[14376, 8096, 7888] chunks=[500, 500, 500] dtype=|u1",,
